 IT 	 P7513467 	 C2E 	 Phitronics 	 Windows 8.1 64 Bits 	32	 1024x768 	1
 CN 	 P97123 	 PDC 	MSI	Windows XP 32 Bits	8	4096 × 2160	1
 IT 	 P7513467 	 PXII 	0	Windows 8 64 Bits	8	1360x768	1
 BR 	 P7513467 	 SEMP 	Gigabyte Technology Co., Ltd.	Windows 8 64 Bits	8	0x0	1
 US 	 P78  234 	 C2D 	ECS	Windows 8 64 Bits	8	1920x1080	1
 KR 	 P982579 	 PXII 	LOGIN	Windows 10 64 Bits	32	1280x720	1
 CN 	 P97123 	 CI5 	Phitronics	Windows 10 32 Bits	16	1768x992	1
 KR 	 P76   567 	 CI7 	ASUS	Windows XP 32 Bits	64	1768x992	1
 GB 	 P97123 	 C2E 	LENOVO	Windows 7 32 Bits	10	800x600	1
 AU 	 P97123 	 CI7 	LOGIN	Windows 7 64 Bits	4	1360x768	1
 DE 	 P78  234 	 CI7 	ASUSTeK COMPUTER INC.	Windows 10 32 Bits	8	0x0	1
 BR 	 P97123 	 C2Q 	ECS	Windows 7 32 Bits	8	1280x720	1
 AU 	 P95 12 	 PDC 	HP	Windows 10 32 Bits	32	1366x768	1
 KR 	 P95 12 	 C2Q 	Phitronics	Windows 10 64 Bits	32	1024x768	1
 CN 	 P95 12 	 CI7 	HP	Windows 10 64 Bits	2	1280x720	1
 GB 	 P78  234 	 PDC 	System manufacturer	Windows 8 64 Bits	12	1920x1200	1
 DE 	 P7513467 	 C2D 	HP	Windows 8 64 Bits	8	1280x960	1
 US 	 P97123 	 C2E 	ASUSTeK COMPUTER INC.	Windows 8 64 Bits	64	1280x800	1
 GB 	 P95 12 	 CEDC 	0	Windows 8 32 Bits	16	1280x800	1
 BR 	 P95 12 	 C2E 	System manufacturer	Windows 10 32 Bits	24	1920x1200	1
 KR 	 P7513467 	 CEDC 	LENOVO	Windows 10 64 Bits	8	4096 × 2160	1
 US 	 P77 0 1 0 	 C2D 	Login Informatica LTDA	Windows 10 32 Bits	32	1024x768	1
 KR 	 P7513467 	 C2Q 	ASUS	Windows 8.1 32 Bits	8	1360x768	1
 TW 	 P95 12 	 PXII 	System manufacturer	Windows 8.1 32 Bits	32	1280x800	1
 AU 	 P78  234 	 SEMP 	System manufacturer	Windows 8.1 64 Bits	8	1440x900	1
 IT 	 P78  234 	 PDC 	System manufacturer	Windows 8.1 32 Bits	8	4096 × 2160	1
 CA 	 P962134 	 C2E 	MSI	Windows 10 64 Bits	64	800x600	1
 HK 	 P97123 	 C2D 	PEGATRON	Windows 10 32 Bits	16	0x0	1
 RU 	 P982579 	 C2E 	ASUS	Windows 10 32 Bits	8	800x600	1
 US 	 P95 12 	 PXII 	Gigabyte Technology Co., Ltd.	Windows 7 32 Bits	4	1152x864	1
 BR 	 P78  234 	 A64X2 	BIOSTAR Group	Windows 8 32 Bits	8	4096 × 2160	1
 KR 	 P78  234 	 SEMP 	ASUS	Windows 7 64 Bits	8	1680x1050	1
 US 	 P95 12 	 C2E 	MSI	Windows 10 32 Bits	8	1152x864	1
 AU 	 P78  234 	 CEDC 	System manufacturer	Windows 8.1 32 Bits	16	1280x720	1
 CN 	 P7513467 	 PDC 	PEGATRON	Windows 8 32 Bits	10	1024x768	1
 RU 	 P97123 	 CI7 	0	Windows 10 32 Bits	16	1768x992	1
 CN 	 P962134 	 PXII 	HP	Windows XP 32 Bits	16	1280x800	1
 CN 	 P962134 	 PDC 	LOGIN	Windows 8 64 Bits	16	1360x768	1
 IT 	 P982579 	 PXII 	ECS	Windows 7 32 Bits	64	1920x1080	1
 TW 	 P76   567 	 PXII 	Phitronics	Windows 8.1 32 Bits	4	1600x900	1
 AU 	 P962134 	 A64X2 	System manufacturer	Windows 8.1 32 Bits	32	720x480	1
 KR 	 P77 0 1 0 	 SEMP 	0	Windows 8.1 32 Bits	32	1920x1200	1
	 P95 12 	 CI7 	System manufacturer	Windows 10 64 Bits	32	640x480	1
 HK 	 P76   567 	 PDC 	PEGATRON	Windows 10 64 Bits	8	720x480	1
 FR 	 P982579 	 C2Q 	PEGATRON	Windows 8.1 32 Bits	64	1768x992	1
 CN 	 P7513467 	 C2Q 	LENOVO	Windows 8.1 32 Bits	32	1280x768	1
 CN 	 P97123 	 C2E 	0	Windows 8 32 Bits	32	1280x768	1
 BR 	 P962134 	 SEMP 	Gigabyte Technology Co., Ltd.	Windows 8 32 Bits	10	1920x1080	1
 BR 	 P76   567 	 C2D 	LENOVO	Windows XP 32 Bits	1	1360x768	1
 GB 	 P78  234 	 SEMP 	MSI	Windows 10 64 Bits	8	1280x768	1
 AU 	 P78  234 	 C2D 	LENOVO	Windows 8.1 32 Bits	8	1280x768	1
 FR 	 P7513467 	 C2D 	MSI	Windows XP 32 Bits	64	1280x768	1
 AU 	 P97123 	 PXII 	LENOVO	Windows 8.1 64 Bits	1	1360x768	1
 FR 	 P97123 	 C2Q 	ASUS	Windows 8 32 Bits	6	1280x1024	1
 GB 	 P78  234 	 PXII 	0	Windows 8.1 32 Bits	64	640x480	1
 HK 	 P982579 	 C2D 	Gigabyte Technology Co., Ltd.	Windows 7 64 Bits	7	0x0	1
 AU 	 P962134 	 C2Q 	Phitronics	Windows 10 32 Bits	16	3840 × 2160	1
 FR 	 P95 12 	 CI5 	Login Informatica LTDA	Windows 7 32 Bits	16	640x480	1
 FR 	 P962134 	 CEDC 	MSI	Windows 7 64 Bits	8	1280x1024	1
 AU 	 P982579 	 A64X2 	BIOSTAR Group	Windows 10 64 Bits	24	4096 × 2160	1
 RU 	 P76   567 	 C2Q 	BIOSTAR Group	Windows 7 64 Bits	6	1280x768	1
 CN 	 P982579 	 PDC 	ASUS	Windows 8 64 Bits	64	1366x768	1
 RU 	 P78  234 	 CI5 	BIOSTAR Group	Windows 8 32 Bits	8	1024x768	1
	 P76   567 	 CEDC 	BIOSTAR Group	Windows 7 64 Bits	32	800x600	1
 KR 	 P95 12 	 A64X2 	Gigabyte Technology Co., Ltd.	Windows 8.1 32 Bits	64	1920x1080	1
	 P78  234 	 C2D 	MSI	Windows 10 32 Bits	16	1280x800	1
 RU 	 P962134 	 PXII 	System manufacturer	Windows 8 32 Bits	8	720x480	1
 KR 	 P95 12 	 CEDC 	LOGIN	Windows 8 32 Bits	8	1360x768	1
 KR 	 P7513467 	 CI5 	ASUS	Windows 8 64 Bits	4	1360x768	1
 HK 	 P77 0 1 0 	 C2E 	MSI	Windows 7 64 Bits	3	1680x1050	1
 TW 	 P76   567 	 C2D 	BIOSTAR Group	Windows 10 32 Bits	16	0x0	1
	 P95 12 	 C2D 	ASUS	Windows 7 64 Bits	32	1360x768	1
 BR 	 P95 12 	 PDC 	BIOSTAR Group	Windows 10 32 Bits	64	1280x960	1
 RU 	 P982579 	 SEMP 	PEGATRON	Windows 7 64 Bits	8	1280x720	1
 CN 	 P76   567 	 SEMP 	HP	Windows 7 64 Bits	8	1680x1050	1
 US 	 P77 0 1 0 	 PXII 	Phitronics	Windows 7 64 Bits	1	800x600	1
 US 	 P982579 	 SEMP 	ECS	Windows 8 64 Bits	3	1680x1050	1
 IT 	 P78  234 	 SEMP 	ASUSTeK COMPUTER INC.	Windows 10 32 Bits	8	640x480	1
	 P7513467 	 CI7 	MSI	Windows 10 32 Bits	7	4096 × 2160	1
 US 	 P95 12 	 C2D 	Phitronics	Windows 10 64 Bits	4	1280x960	1
 AU 	 P962134 	 PDC 	LENOVO	Windows 7 64 Bits	64	1360x768	1
 DE 	 P77 0 1 0 	 C2E 	ASUSTeK COMPUTER INC.	Windows 8 64 Bits	6	720x480	1
 AU 	 P78  234 	 C2D 	Gigabyte Technology Co., Ltd.	Windows 7 64 Bits	64	3840 × 2160	1
 CA 	 P76   567 	 SEMP 	Login Informatica LTDA	Windows 7 64 Bits	16	800x600	1
 US 	 P97123 	 CI5 	LENOVO	Windows 10 32 Bits	64	640x480	1
 FR 	 P962134 	 SEMP 	PEGATRON	Windows XP 32 Bits	64	1024x768	1
 TW 	 P76   567 	 CI5 	HP	Windows 8.1 64 Bits	16	800x600	1
 US 	 P76   567 	 C2E 	Phitronics	Windows XP 32 Bits	64	1768x992	1
 GB 	 P7513467 	 C2Q 	BIOSTAR Group	Windows 7 32 Bits	64	1920x1200	1
 DE 	 P95 12 	 PDC 	ASUS	Windows 10 32 Bits	32	1920x1200	1
 TW 	 P7513467 	 C2Q 	System manufacturer	Windows 7 64 Bits	16	1768x992	1
 TW 	 P7513467 	 PXII 	MSI	Windows 8 64 Bits	64	1360x765	1
 RU 	 P97123 	 CI7 	0	Windows 7 64 Bits	8	720x480	1
 IT 	 P962134 	 PDC 	PEGATRON	Windows 7 64 Bits	16	1600x900	1
	 P78  234 	 C2D 	ASUSTeK COMPUTER INC.	Windows 10 32 Bits	16	1152x864	1
 RU 	 P95 12 	 C2Q 	System manufacturer	Windows 7 32 Bits	8	4096 × 2160	1
 DE 	 P76   567 	 C2Q 	HP	Windows 7 32 Bits	32	640x480	1
 AU 	 P97123 	 PDC 	ASUS	Windows 8.1 64 Bits	64	4096 × 2160	1
 TW 	 P78  234 	 PDC 	Gigabyte Technology Co., Ltd.	Windows 10 32 Bits	32	1280x1024	1
 AU 	 P982579 	 CI5 	BIOSTAR Group	Windows 10 64 Bits	8	1360x765	1
	 P97123 	 PXII 	MSI	Windows 8 64 Bits	8	720x480	1
 US 	 P76   567 	 PDC 	LENOVO	Windows XP 32 Bits	8	1920x1080	1
 BR 	 P97123 	 CI7 	PEGATRON	Windows XP 32 Bits	32	1280x960	1
 CN 	 P95 12 	 SEMP 	Login Informatica LTDA	Windows 7 32 Bits	2	1024x768	1
 US 	 P77 0 1 0 	 CEDC 	Gigabyte Technology Co., Ltd.	Windows 10 64 Bits	32	1280x768	1
 AU 	 P962134 	 SEMP 	BIOSTAR Group	Windows 7 64 Bits	8	1366x768	1
 CA 	 P982579 	 CI7 	System manufacturer	Windows XP 32 Bits	8	1280x1024	1
 HK 	 P982579 	 C2Q 	ASUSTeK COMPUTER INC.	Windows 7 32 Bits	16	1600x900	1
 DE 	 P962134 	 PDC 	Phitronics	Windows 8 64 Bits	8	1920x1200	1
 CA 	 P982579 	 PXII 	Login Informatica LTDA	Windows 10 64 Bits	8	1920x1200	1
 KR 	 P95 12 	 PDC 	LOGIN	Windows XP 32 Bits	16	1280x1024	1
 TW 	 P77 0 1 0 	 CEDC 	System manufacturer	Windows 7 64 Bits	16	0x0	1
 HK 	 P97123 	 CI7 	MSI	Windows 8 64 Bits	64	720x480	1
 TW 	 P95 12 	 CEDC 	System manufacturer	Windows 8 64 Bits	8	1360x768	1
 HK 	 P78  234 	 SEMP 	ASUSTeK COMPUTER INC.	Windows 8.1 32 Bits	16	1360x768	1
 CA 	 P77 0 1 0 	 C2E 	System manufacturer	Windows XP 32 Bits	16	4096 × 2160	1
 RU 	 P962134 	 CEDC 	ECS	Windows 7 64 Bits	8	800x600	1
 FR 	 P76   567 	 C2E 	HP	Windows 7 64 Bits	8	1768x992	1
 TW 	 P962134 	 C2D 	PEGATRON	Windows 7 64 Bits	32	4096 × 2160	1
	 P78  234 	 CEDC 	LENOVO	Windows 7 32 Bits	32	1920x1080	1
 KR 	 P77 0 1 0 	 C2E 	BIOSTAR Group	Windows 8 64 Bits	3	1360x768	1
 AU 	 P78  234 	 SEMP 	ECS	Windows 8 32 Bits	8	1920x1080	1
 BR 	 P76   567 	 C2E 	Phitronics	Windows 7 32 Bits	16	640x480	1
 IT 	 P95 12 	 C2Q 	LENOVO	Windows 7 64 Bits	6	640x480	1
	 P982579 	 PXII 	HP	Windows 8 32 Bits	32	1600x900	1
	 P77 0 1 0 	 C2E 	Gigabyte Technology Co., Ltd.	Windows 7 32 Bits	8	1768x992	1
 CN 	 P97123 	 CI5 	System manufacturer	Windows 10 32 Bits	32	1280x960	1
 AU 	 P982579 	 C2D 	LOGIN	Windows XP 32 Bits	24	4096 × 2160	1
 BR 	 P77 0 1 0 	 CI7 	ASUSTeK COMPUTER INC.	Windows 7 64 Bits	24	1600x900	1
 KR 	 P962134 	 CI7 	Gigabyte Technology Co., Ltd.	Windows 7 32 Bits	16	1280x768	1
 CN 	 P95 12 	 A64X2 	Gigabyte Technology Co., Ltd.	Windows XP 32 Bits	16	1768x992	1
 RU 	 P76   567 	 C2E 	Gigabyte Technology Co., Ltd.	Windows XP 32 Bits	8	720x480	1
 TW 	 P95 12 	 A64X2 	0	Windows 8.1 32 Bits	8	4096 × 2160	1
 CA 	 P78  234 	 CI7 	Phitronics	Windows 7 64 Bits	32	1360x768	1
 FR 	 P962134 	 CI5 	LENOVO	Windows 7 64 Bits	4	3840 × 2160	1
 US 	 P7513467 	 CI5 	HP	Windows 7 32 Bits	8	800x600	1
 DE 	 P95 12 	 CI5 	System manufacturer	Windows 8.1 64 Bits	8	4096 × 2160	1
 KR 	 P77 0 1 0 	 SEMP 	BIOSTAR Group	Windows 7 64 Bits	8	1280x800	1
 FR 	 P76   567 	 PDC 	PEGATRON	Windows XP 32 Bits	32	1280x768	1
 DE 	 P77 0 1 0 	 CI7 	System manufacturer	Windows 10 64 Bits	64	1280x768	1
 IT 	 P97123 	 SEMP 	HP	Windows 8 32 Bits	32	1152x864	1
 HK 	 P7513467 	 PDC 	PEGATRON	Windows 8 32 Bits	8	1440x900	1
 HK 	 P95 12 	 A64X2 	Phitronics	Windows XP 32 Bits	16	4096 × 2160	1
 RU 	 P95 12 	 PXII 	PEGATRON	Windows XP 32 Bits	8	1600x900	1
 IT 	 P78  234 	 SEMP 	HP	Windows 8.1 32 Bits	4	1280x800	1
 GB 	 P7513467 	 SEMP 	System manufacturer	Windows 8 32 Bits	16	640x480	1
 IT 	 P78  234 	 C2D 	0	Windows 8 32 Bits	3	1600x900	1
 HK 	 P962134 	 CI7 	LOGIN	Windows 7 64 Bits	8	1280x800	1
 DE 	 P76   567 	 PDC 	Login Informatica LTDA	Windows 10 64 Bits	64	1920x1200	1
 BR 	 P982579 	 CEDC 	HP	Windows 8.1 64 Bits	8	1024x768	1
 AU 	 P7513467 	 C2E 	MSI	Windows 7 64 Bits	6	4096 × 2160	1
 KR 	 P77 0 1 0 	 C2E 	System manufacturer	Windows 8.1 64 Bits	12	0x0	1
 FR 	 P962134 	 CI5 	Phitronics	Windows 7 64 Bits	4	0x0	1
 CN 	 P78  234 	 PDC 	ECS	Windows XP 32 Bits	64	1280x1024	1
 BR 	 P95 12 	 CI7 	Gigabyte Technology Co., Ltd.	Windows 10 64 Bits	16	1920x1080	1
 GB 	 P982579 	 CEDC 	Phitronics	Windows 10 64 Bits	8	1360x768	1
 US 	 P76   567 	 CI7 	0	Windows 10 32 Bits	8	1152x864	1
 US 	 P97123 	 C2E 	BIOSTAR Group	Windows 7 32 Bits	1	0x0	1
 CA 	 P95 12 	 CI5 	System manufacturer	Windows 10 32 Bits	64	1360x768	1
 CN 	 P76   567 	 A64X2 	PEGATRON	Windows 7 64 Bits	4	1280x600	1
 KR 	 P77 0 1 0 	 C2D 	0	Windows 8 64 Bits	32	1280x960	1
 TW 	 P97123 	 C2Q 	LENOVO	Windows 10 64 Bits	1	1280x768	1
 TW 	 P95 12 	 PXII 	ASUS	Windows 8 32 Bits	6	1680x1050	1
 CA 	 P962134 	 C2E 	ASUSTeK COMPUTER INC.	Windows XP 32 Bits	8	1920x1200	1
 DE 	 P982579 	 C2D 	LOGIN	Windows 8 32 Bits	10	1024x768	1
 IT 	 P78  234 	 PXII 	System manufacturer	Windows 8.1 64 Bits	8	1360x768	1
 CA 	 P76   567 	 A64X2 	Phitronics	Windows 7 64 Bits	64	800x600	1
 TW 	 P78  234 	 C2D 	BIOSTAR Group	Windows 7 32 Bits	8	1280x768	1
 KR 	 P97123 	 C2E 	LENOVO	Windows 8.1 64 Bits	8	1768x992	1
	 P962134 	 C2E 	BIOSTAR Group	Windows 8.1 64 Bits	64	1360x765	1
 CN 	 P962134 	 C2E 	PEGATRON	Windows 7 32 Bits	12	1680x1050	1
 KR 	 P7513467 	 CEDC 	Phitronics	Windows 8.1 64 Bits	10	720x480	1
 CA 	 P95 12 	 C2D 	LENOVO	Windows 8.1 64 Bits	16	1280x768	1
 CN 	 P7513467 	 A64X2 	ASUSTeK COMPUTER INC.	Windows 8 32 Bits	64	720x480	1
 CA 	 P78  234 	 A64X2 	ASUS	Windows 7 64 Bits	32	1680x1050	1
	 P76   567 	 SEMP 	LENOVO	Windows 10 32 Bits	10	1440x900	1
 US 	 P982579 	 C2E 	MSI	Windows 8 32 Bits	8	1366x768	1
 TW 	 P95 12 	 C2Q 	BIOSTAR Group	Windows 10 32 Bits	8	1360x768	1
 BR 	 P78  234 	 C2D 	System manufacturer	Windows 10 64 Bits	8	720x480	1
 HK 	 P962134 	 PDC 	Phitronics	Windows 8.1 64 Bits	16	1280x960	1
 KR 	 P77 0 1 0 	 C2D 	ASUSTeK COMPUTER INC.	Windows 8 64 Bits	16	1366x768	1
 KR 	 P97123 	 CI5 	ECS	Windows 8.1 64 Bits	8	1280x800	1
 DE 	 P962134 	 C2Q 	System manufacturer	Windows 7 32 Bits	8	800x600	1
 US 	 P77 0 1 0 	 A64X2 	BIOSTAR Group	Windows 8.1 64 Bits	8	1360x768	1
 FR 	 P95 12 	 C2Q 	LOGIN	Windows 8.1 64 Bits	16	1280x1024	1
 AU 	 P78  234 	 PDC 	Phitronics	Windows 8 32 Bits	3	800x600	1
 AU 	 P95 12 	 CI7 	Gigabyte Technology Co., Ltd.	Windows 10 32 Bits	8	1280x800	1
 RU 	 P95 12 	 PDC 	Gigabyte Technology Co., Ltd.	Windows 8 64 Bits	16	1360x765	1
 US 	 P7513467 	 SEMP 	ECS	Windows 8 64 Bits	4	1024x768	1
 RU 	 P76   567 	 C2Q 	LENOVO	Windows 10 64 Bits	64	640x480	1
 CN 	 P7513467 	 CEDC 	PEGATRON	Windows 8 32 Bits	32	1280x768	1
 US 	 P77 0 1 0 	 SEMP 	MSI	Windows 10 64 Bits	64	1440x900	1
 GB 	 P7513467 	 A64X2 	Gigabyte Technology Co., Ltd.	Windows 10 32 Bits	10	1366x768	1
 BR 	 P77 0 1 0 	 PDC 	Login Informatica LTDA	Windows XP 32 Bits	7	1680x1050	1
 BR 	 P78  234 	 SEMP 	ASUSTeK COMPUTER INC.	Windows 8 64 Bits	64	800x600	1
 HK 	 P76   567 	 CEDC 	Login Informatica LTDA	Windows XP 32 Bits	8	1920x1080	1
 IT 	 P77 0 1 0 	 C2D 	Login Informatica LTDA	Windows 8.1 32 Bits	12	1280x600	1
 US 	 P95 12 	 C2Q 	0	Windows XP 32 Bits	8	1280x960	1
 DE 	 P77 0 1 0 	 C2Q 	0	Windows 7 32 Bits	8	720x480	1
	 P982579 	 CEDC 	HP	Windows 7 64 Bits	8	1280x960	1
 TW 	 P982579 	 C2D 	MSI	Windows 8 32 Bits	64	720x480	1
 GB 	 P95 12 	 CI5 	BIOSTAR Group	Windows 8.1 32 Bits	24	4096 × 2160	1
 AU 	 P95 12 	 C2D 	ECS	Windows 7 32 Bits	64	4096 × 2160	1
 CA 	 P982579 	 SEMP 	System manufacturer	Windows 7 64 Bits	32	3840 × 2160	1
 AU 	 P77 0 1 0 	 PXII 	PEGATRON	Windows 7 64 Bits	64	4096 × 2160	1
	 P7513467 	 C2Q 	HP	Windows 7 32 Bits	16	1440x900	1
 HK 	 P982579 	 CI7 	PEGATRON	Windows 8 64 Bits	16	1360x768	1
 CA 	 P7513467 	 SEMP 	Phitronics	Windows 7 32 Bits	8	1280x600	1
 AU 	 P7513467 	 C2E 	ECS	Windows 7 64 Bits	6	1680x1050	1
 TW 	 P95 12 	 C2Q 	ECS	Windows 7 64 Bits	8	1024x768	1
 KR 	 P78  234 	 C2E 	Login Informatica LTDA	Windows XP 32 Bits	8	1600x900	1
 GB 	 P95 12 	 CEDC 	LENOVO	Windows 8 32 Bits	64	1360x768	1
 HK 	 P76   567 	 C2D 	Gigabyte Technology Co., Ltd.	Windows 7 64 Bits	32	1600x900	1
 GB 	 P962134 	 PDC 	System manufacturer	Windows 7 64 Bits	4	1152x864	1
 CA 	 P97123 	 A64X2 	0	Windows XP 32 Bits	6	1680x1050	1
 GB 	 P78  234 	 CI7 	System manufacturer	Windows 8.1 64 Bits	64	1280x600	1
 IT 	 P982579 	 CI7 	Login Informatica LTDA	Windows 8 64 Bits	12	1360x768	1
 CA 	 P76   567 	 CEDC 	BIOSTAR Group	Windows 10 32 Bits	2	1366x768	1
 DE 	 P77 0 1 0 	 PDC 	LOGIN	Windows XP 32 Bits	8	1280x768	1
 KR 	 P78  234 	 PDC 	ASUS	Windows 8.1 64 Bits	1	1280x768	1
 TW 	 P982579 	 C2E 	HP	Windows 8.1 64 Bits	32	1280x1024	1
 IT 	 P76   567 	 C2E 	Login Informatica LTDA	Windows 8.1 64 Bits	10	1360x768	1
 CA 	 P95 12 	 CI7 	HP	Windows 7 64 Bits	64	1280x720	1
 CA 	 P7513467 	 PXII 	Phitronics	Windows 7 64 Bits	16	1280x960	1
 FR 	 P962134 	 SEMP 	ECS	Windows 10 64 Bits	1	1280x768	1
 IT 	 P78  234 	 CEDC 	0	Windows 8 64 Bits	8	1360x765	1
 AU 	 P77 0 1 0 	 C2E 	BIOSTAR Group	Windows 8.1 64 Bits	64	1360x765	1
 FR 	 P962134 	 CI7 	ASUS	Windows XP 32 Bits	8	1366x768	1
 DE 	 P97123 	 PDC 	BIOSTAR Group	Windows 7 64 Bits	8	1680x1050	1
 BR 	 P7513467 	 SEMP 	System manufacturer	Windows 8.1 32 Bits	8	1360x768	1
 GB 	 P76   567 	 CI5 	LOGIN	Windows 7 64 Bits	8	3840 × 2160	1
 IT 	 P7513467 	 C2D 	LENOVO	Windows 8 32 Bits	8	1280x768	1
 GB 	 P95 12 	 C2D 	Login Informatica LTDA	Windows XP 32 Bits	3	1920x1200	1
 AU 	 P982579 	 CI7 	ASUS	Windows 7 32 Bits	8	1920x1080	1
 GB 	 P95 12 	 PDC 	ASUS	Windows XP 32 Bits	8	1440x900	1
	 P76   567 	 CI5 	ECS	Windows 8 32 Bits	16	1360x768	1
 AU 	 P76   567 	 C2D 	ECS	Windows 8.1 32 Bits	12	1360x765	1
 HK 	 P7513467 	 CEDC 	BIOSTAR Group	Windows 10 64 Bits	16	0x0	1
 CA 	 P97123 	 SEMP 	LOGIN	Windows 8.1 32 Bits	64	1280x600	1
 CN 	 P95 12 	 C2E 	LOGIN	Windows 10 64 Bits	16	4096 × 2160	1
 TW 	 P97123 	 CEDC 	System manufacturer	Windows 7 32 Bits	8	1280x600	1
 TW 	 P78  234 	 PDC 	System manufacturer	Windows 7 64 Bits	8	1600x900	1
 GB 	 P982579 	 CI7 	Phitronics	Windows 8.1 32 Bits	1	1280x768	1
 AU 	 P962134 	 C2E 	ECS	Windows 8 32 Bits	16	1152x864	1
 BR 	 P77 0 1 0 	 CI7 	PEGATRON	Windows 10 64 Bits	8	1024x768	1
	 P962134 	 C2E 	MSI	Windows 8.1 64 Bits	8	1280x600	1
 CN 	 P76   567 	 SEMP 	0	Windows XP 32 Bits	64	1024x768	1
 CA 	 P78  234 	 CI5 	Login Informatica LTDA	Windows XP 32 Bits	6	1440x900	1
 RU 	 P78  234 	 SEMP 	Gigabyte Technology Co., Ltd.	Windows 7 64 Bits	8	800x600	1
	 P78  234 	 PXII 	ASUSTeK COMPUTER INC.	Windows 10 64 Bits	16	1360x768	1
 DE 	 P982579 	 A64X2 	System manufacturer	Windows XP 32 Bits	12	1920x1080	1
 HK 	 P78  234 	 CEDC 	BIOSTAR Group	Windows 8 64 Bits	64	1360x765	1
	 P76   567 	 A64X2 	BIOSTAR Group	Windows 8.1 64 Bits	16	1440x900	1
 RU 	 P982579 	 PXII 	LENOVO	Windows 7 64 Bits	16	1152x864	1
 BR 	 P95 12 	 A64X2 	MSI	Windows 8 32 Bits	16	1920x1080	1
 KR 	 P78  234 	 SEMP 	Login Informatica LTDA	Windows 7 32 Bits	4	1920x1200	1
 BR 	 P77 0 1 0 	 PDC 	Login Informatica LTDA	Windows 7 64 Bits	32	3840 × 2160	1
 BR 	 P78  234 	 SEMP 	BIOSTAR Group	Windows 10 32 Bits	10	1360x768	1
 CN 	 P7513467 	 C2E 	LENOVO	Windows 8.1 32 Bits	1	1360x765	1
 HK 	 P97123 	 C2D 	Login Informatica LTDA	Windows 8.1 64 Bits	12	1920x1200	1
 HK 	 P78  234 	 C2D 	System manufacturer	Windows 8.1 64 Bits	32	0x0	1
 FR 	 P97123 	 C2E 	Login Informatica LTDA	Windows 7 64 Bits	4	1768x992	1
 US 	 P76   567 	 A64X2 	System manufacturer	Windows 8.1 32 Bits	16	1920x1080	1
 CN 	 P77 0 1 0 	 C2Q 	ASUSTeK COMPUTER INC.	Windows 10 32 Bits	64	1920x1200	1
 HK 	 P78  234 	 CI5 	PEGATRON	Windows 10 32 Bits	32	1360x768	1
 BR 	 P982579 	 C2Q 	System manufacturer	Windows 10 64 Bits	32	1920x1200	1
 DE 	 P7513467 	 PXII 	Gigabyte Technology Co., Ltd.	Windows 8.1 32 Bits	8	1360x765	1
 AU 	 P77 0 1 0 	 PXII 	LOGIN	Windows 8.1 32 Bits	8	1280x1024	1
 CA 	 P982579 	 PXII 	MSI	Windows 10 64 Bits	32	1280x768	1
 DE 	 P97123 	 C2Q 	ECS	Windows 8 64 Bits	8	1152x864	1
 IT 	 P97123 	 C2E 	0	Windows 7 32 Bits	8	1600x900	1
 AU 	 P78  234 	 PXII 	ASUS	Windows 7 64 Bits	4	1440x900	1
 TW 	 P962134 	 A64X2 	ASUSTeK COMPUTER INC.	Windows 10 64 Bits	32	1920x1200	1
 GB 	 P962134 	 SEMP 	System manufacturer	Windows 8.1 64 Bits	8	1280x1024	1
 DE 	 P97123 	 SEMP 	0	Windows 7 64 Bits	10	1360x765	1
 GB 	 P76   567 	 SEMP 	0	Windows 8.1 32 Bits	8	1280x800	1
 IT 	 P982579 	 CI7 	Login Informatica LTDA	Windows 8.1 64 Bits	8	1280x800	1
 GB 	 P95 12 	 CI5 	LENOVO	Windows 7 64 Bits	8	1680x1050	1
 DE 	 P97123 	 C2Q 	Login Informatica LTDA	Windows 7 32 Bits	8	1360x768	1
 RU 	 P78  234 	 SEMP 	Gigabyte Technology Co., Ltd.	Windows 8.1 64 Bits	3	1280x720	1
 KR 	 P78  234 	 PDC 	LENOVO	Windows 10 32 Bits	16	1152x864	1
	 P78  234 	 CI5 	ASUS	Windows 8.1 32 Bits	16	1920x1080	1
 TW 	 P95 12 	 CEDC 	BIOSTAR Group	Windows 8 64 Bits	16	1366x768	1
 RU 	 P78  234 	 SEMP 	BIOSTAR Group	Windows 8.1 32 Bits	8	1280x720	1
 CA 	 P962134 	 C2Q 	HP	Windows 8 32 Bits	8	1280x1024	1
 GB 	 P78  234 	 CI5 	Login Informatica LTDA	Windows 8.1 32 Bits	16	0x0	1
 CA 	 P962134 	 CI7 	System manufacturer	Windows XP 32 Bits	16	1920x1200	1
	 P95 12 	 C2E 	MSI	Windows 8 32 Bits	64	1440x900	1
 CA 	 P982579 	 C2E 	ECS	Windows 10 32 Bits	32	1600x900	1
 BR 	 P78  234 	 CI7 	Gigabyte Technology Co., Ltd.	Windows 10 32 Bits	32	1440x900	1
	 P78  234 	 CI5 	System manufacturer	Windows 10 32 Bits	8	1280x720	1
 BR 	 P77 0 1 0 	 C2D 	System manufacturer	Windows 8 32 Bits	1	1920x1080	1
 DE 	 P97123 	 CEDC 	MSI	Windows 7 64 Bits	8	1360x768	1
 TW 	 P95 12 	 PDC 	Login Informatica LTDA	Windows 10 64 Bits	8	1360x768	1
 US 	 P76   567 	 SEMP 	ASUS	Windows 8 32 Bits	64	4096 × 2160	1
